"","x1","x2","y"
"1",0,10,7.5
"2",0,50,15
"3",0,85,22
"4",0,110,28.6
"5",0,140,31.6
"6",0,170,34
"7",0,200,35
"8",0,230,35.5
"9",0,260,36.5
"10",0,290,38.5
"11",0,10,12.3
"12",0,30,18
"13",0,62,20.8
"14",0,90,25.7
"15",0,150,32.5
"16",0,210,34
"17",0,270,35
"18",0.02,10,14.4
"19",0.02,30,19
"20",0.02,60,26.4
"21",0.02,90,28.5
"22",0.02,120,29
"23",0.02,210,35
"24",0.02,30,15.1
"25",0.02,60,26.4
"26",0.02,120,27
"27",0.02,150,29
"28",0.05,20,21
"29",0.05,40,27.3
"30",0.05,130,48.5
"31",0.05,190,50.4
"32",0.05,250,52.5
"33",0.05,60,34.4
"34",0.05,90,46.5
"35",0.05,120,50
"36",0.05,150,51.9
